date,KO US EQUITY,PEP US EQUITY
2023-06-01,60.0,182.19
2023-06-02,61.16,184.06
2023-06-05,60.75,184.19
2023-06-06,60.31,181.56
2023-06-07,60.22,180.11
2023-06-08,60.37,182.1
2023-06-09,60.47,182.35
2023-06-12,60.21,181.9
2023-06-13,60.45,181.54
2023-06-14,60.86,183.17
2023-06-15,61.23,185.71
2023-06-16,61.67,186.04
2023-06-20,61.26,185.31
2023-06-21,61.43,185.43
2023-06-22,61.85,187.35
2023-06-23,61.2,186.07
2023-06-26,61.22,184.89
2023-06-27,61.09,186.22
2023-06-28,60.52,183.7
2023-06-29,60.02,183.88
2023-06-30,60.22,185.22
2023-07-03,60.58,185.6
2023-07-05,61.03,186.58
2023-07-06,60.56,186.6
2023-07-07,59.76,183.08
2023-07-10,59.31,184.3
2023-07-11,59.52,183.98
2023-07-12,59.84,183.17
2023-07-13,60.35,187.53
2023-07-14,60.9,188.21
2023-07-17,60.81,185.63
2023-07-18,60.57,184.45
2023-07-19,61.64,186.26
2023-07-20,62.39,189.3
2023-07-21,62.44,190.16
2023-07-24,62.46,190.92
2023-07-25,62.25,191.36
2023-07-26,63.05,191.6
2023-07-27,62.44,188.53
2023-07-28,62.48,190.31
2023-07-31,61.93,187.46
2023-08-01,61.77,186.82
2023-08-02,61.96,188.31
2023-08-03,61.64,187.12
2023-08-04,60.71,184.6
2023-08-07,61.19,186.89
2023-08-08,60.92,184.44
2023-08-09,61.06,183.98
2023-08-10,60.92,183.75
2023-08-11,61.17,184.04
2023-08-14,60.88,183.62
2023-08-15,60.47,181.35
2023-08-16,60.48,181.21
2023-08-17,60.61,178.45
2023-08-18,60.95,178.18
2023-08-21,60.43,177.05
2023-08-22,60.06,175.7
2023-08-23,60.27,178.12
2023-08-24,60.11,177.18
2023-08-25,60.39,179.42
2023-08-28,60.56,180.25
2023-08-29,60.5,180.93
2023-08-30,60.47,181.08
2023-08-31,59.83,177.92
2023-09-01,59.31,175.32
2023-09-05,58.82,174.16
2023-09-06,58.78,174.73
2023-09-07,58.33,176.4
2023-09-08,58.33,176.27
2023-09-11,58.88,178.93
2023-09-12,58.3,178.27
2023-09-13,58.44,179.68
2023-09-14,58.46,181.23
2023-09-15,57.94,179.84
2023-09-18,58.3,179.38
2023-09-19,58.18,178.32
2023-09-20,58.44,178.38
2023-09-21,57.54,175.38
2023-09-22,57.6,175.27
2023-09-25,57.0,174.33
2023-09-26,56.53,172.52
2023-09-27,55.95,169.57
2023-09-28,55.81,169.5
2023-09-29,55.98,169.44
2023-10-02,55.48,169.17
2023-10-03,54.88,167.7
2023-10-04,55.04,168.91
2023-10-05,52.38,160.1
2023-10-06,53.14,160.29
2023-10-09,52.88,161.36
2023-10-10,54.03,164.4
2023-10-11,53.71,162.62
2023-10-12,52.81,158.08
2023-10-13,52.89,160.0
2023-10-16,53.43,161.08
2023-10-17,54.07,160.37
2023-10-18,54.05,162.03
2023-10-19,54.35,160.56
2023-10-20,54.57,160.0
2023-10-23,54.08,160.08
2023-10-24,55.64,162.19
2023-10-25,56.12,162.35
2023-10-26,55.78,161.41
2023-10-27,55.24,159.62
2023-10-30,56.15,162.28
2023-10-31,56.49,163.28
2023-11-01,56.44,164.87
2023-11-02,57.09,166.83
2023-11-03,56.74,166.79
2023-11-06,56.97,166.7
2023-11-07,57.18,167.18
2023-11-08,57.09,167.39
2023-11-09,56.66,166.16
2023-11-10,56.72,166.92
2023-11-13,56.93,167.77
2023-11-14,57.1,168.11
2023-11-15,57.21,167.25
2023-11-16,57.15,167.71
2023-11-17,57.26,166.76
2023-11-20,57.4,166.52
2023-11-21,58.03,167.8
2023-11-22,58.42,169.22
2023-11-24,58.57,169.37
2023-11-27,58.46,168.32
2023-11-28,58.58,168.86
2023-11-29,58.23,167.16
2023-11-30,58.44,168.29
2023-12-01,58.64,168.69
2023-12-04,58.57,169.14
2023-12-05,58.66,167.94
2023-12-06,58.6,167.51
2023-12-07,58.74,167.46
2023-12-08,58.61,165.68
2023-12-11,59.04,167.82
2023-12-12,59.42,168.47
2023-12-13,59.93,172.01
2023-12-14,59.04,168.25
2023-12-15,58.6,167.0
2023-12-18,59.02,168.91
2023-12-19,58.83,167.95
2023-12-20,57.61,165.69
2023-12-21,57.99,166.97
2023-12-22,58.32,167.68
2023-12-26,58.56,168.86
2023-12-27,58.71,169.4
2023-12-28,58.75,169.39
2023-12-29,58.93,169.84
2024-01-02,59.82,172.91
2024-01-03,59.96,172.95
2024-01-04,59.76,171.47
2024-01-05,59.67,168.94
2024-01-08,60.11,169.11
2024-01-09,60.0,167.17
2024-01-10,60.2,166.92
2024-01-11,59.81,166.13
2024-01-12,60.39,167.27
2024-01-16,59.99,166.17
2024-01-17,59.99,166.44
2024-01-18,60.16,167.17
2024-01-19,59.83,165.78
2024-01-22,59.57,165.11
2024-01-23,59.85,167.64
2024-01-24,58.91,165.6
2024-01-25,59.16,166.56
2024-01-26,59.37,167.86
2024-01-29,59.73,168.15
2024-01-30,59.9,169.62
2024-01-31,59.49,168.53
2024-02-01,60.98,171.7
2024-02-02,60.54,170.97
2024-02-05,60.04,170.92
2024-02-06,59.94,171.42
2024-02-07,59.99,171.47
2024-02-08,59.83,173.85
2024-02-09,59.56,167.67
2024-02-12,59.7,170.61
2024-02-13,59.35,168.88
2024-02-14,59.29,167.52
2024-02-15,59.4,167.86
2024-02-16,59.39,166.32
2024-02-20,60.7,168.65
2024-02-21,61.24,168.83
2024-02-22,61.15,168.25
2024-02-23,61.2,169.6
2024-02-26,60.71,168.26
2024-02-27,60.34,168.16
2024-02-28,60.4,167.03
2024-02-29,60.02,165.34
2024-03-01,59.53,164.59
2024-03-04,59.81,165.37
2024-03-05,59.52,162.04
2024-03-06,59.55,163.0
2024-03-07,59.44,163.11
2024-03-08,59.52,163.05
2024-03-11,60.24,164.73
2024-03-12,60.5,164.54
2024-03-13,61.12,165.3
2024-03-14,60.5,164.78
2024-03-15,59.88,164.66
2024-03-18,60.13,171.26
2024-03-19,60.23,171.8
2024-03-20,60.75,171.86
2024-03-21,60.47,172.45
2024-03-22,60.49,172.02
2024-03-25,60.4,172.6
2024-03-26,60.54,172.73
2024-03-27,61.03,173.57
2024-03-28,61.18,175.01
2024-04-01,60.68,172.98
2024-04-02,60.15,171.44
2024-04-03,59.83,169.68
2024-04-04,59.3,169.65
2024-04-05,59.51,169.14
2024-04-08,59.27,169.58
2024-04-09,59.72,170.61
